T	B	Gr	NK_56	NK_16
0	0	102	0	0
0	0	102	0	0
0	102	0	0	0
0	0	0	102	0
0	0	0	102	0
0	102	0	0	0
0	0	0	102	0
0	102	0	0	0
0	102	0	0	0
0	0	0	102	0
0	0	102	0	0
0	0	0	102	0
0	0	102	0	0
0	102	0	0	0
0	0	102	0	0
102	0	0	0	0
0	102	0	0	0
0	0	102	0	0
0	0	0	102	0
0	0	0	102	0
0	0	102	0	0
0	0	102	0	0
103	0	0	0	0
103	0	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
0	0	103	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
103	0	0	0	0
0	0	103	0	0
0	103	0	0	0
0	0	0	103	0
103	0	0	0	0
0	0	103	0	0
0	0	0	0	103
0	0	103	0	0
0	0	103	0	0
0	0	0	103	0
0	0	103	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	0	0	103	0
0	0	103	0	0
0	0	0	103	0
0	0	0	103	0
0	0	103	0	0
103	0	0	0	0
0	0	103	0	0
0	0	0	103	0
0	0	103	0	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	0	0	103	0
0	103	0	0	0
0	0	103	0	0
103	0	0	0	0
103	0	0	0	0
103	0	0	0	0
103	0	0	0	0
0	0	103	0	0
0	103	0	0	0
0	0	103	0	0
0	0	0	103	0
0	103	0	0	0
0	103	0	0	0
0	0	103	0	0
0	0	0	103	0
0	0	0	103	0
0	0	103	0	0
0	103	0	0	0
0	103	0	0	0
0	0	0	103	0
0	0	0	103	0
0	103	0	0	0
103	0	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
0	0	103	0	0
0	103	0	0	0
0	103	0	0	0
0	103	0	0	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
0	103	0	0	0
0	0	0	103	0
103	0	0	0	0
0	103	0	0	0
0	0	0	0	103
0	103	0	0	0
0	103	0	0	0
0	103	0	0	0
0	0	0	103	0
0	0	0	103	0
0	0	0	103	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	0	0	103	0
0	0	103	0	0
103	0	0	0	0
0	103	0	0	0
0	0	103	0	0
0	103	0	0	0
0	0	103	0	0
103	0	0	0	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
0	0	0	103	0
0	0	0	103	0
103	0	0	0	0
0	0	0	103	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
0	0	0	103	0
0	0	0	103	0
103	0	0	0	0
0	0	0	103	0
0	0	0	103	0
0	0	0	103	0
0	0	103	0	0
0	0	103	0	0
0	0	103	0	0
0	0	0	0	103
0	0	0	103	0
0	0	103	0	0
0	0	103	0	0
103	0	0	0	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
0	0	0	103	0
0	103	0	0	0
0	0	0	103	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	103	0	0	0
0	0	0	103	0
103	0	0	0	0
0	103	0	0	0
103	0	0	0	0
103	0	0	0	0
0	103	0	0	0
0	0	103	0	0
0	0	0	103	0
0	103	0	0	0
0	103	0	0	0
0	0	0	103	0
0	103	0	0	0
0	103	0	0	0
103	0	0	0	0
0	0	103	0	0
0	103	0	0	0
103	0	0	0	0
0	103	0	0	0
0	0	0	103	0
0	104	0	0	0
104	0	0	0	0
104	0	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
104	0	0	0	0
0	0	0	104	0
0	0	104	0	0
0	104	0	0	0
104	0	0	0	0
0	0	0	0	104
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	0	0	104	0
0	0	0	104	0
0	0	0	104	0
0	0	104	0	0
0	0	0	104	0
0	104	0	0	0
0	0	0	0	104
0	104	0	0	0
0	0	0	104	0
104	0	0	0	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	0	0	104	0
0	104	0	0	0
0	0	104	0	0
0	0	0	104	0
0	104	0	0	0
0	0	104	0	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
104	0	0	0	0
104	0	0	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
104	0	0	0	0
104	0	0	0	0
0	0	0	104	0
104	0	0	0	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	0	0	104	0
0	0	0	104	0
0	0	0	104	0
0	0	104	0	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
0	0	0	104	0
0	104	0	0	0
0	0	104	0	0
0	104	0	0	0
0	0	104	0	0
0	0	0	104	0
0	0	0	104	0
0	104	0	0	0
104	0	0	0	0
0	0	0	0	104
0	104	0	0	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
104	0	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
104	0	0	0	0
0	0	104	0	0
0	104	0	0	0
0	0	0	104	0
0	0	0	0	104
104	0	0	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	0	0	104	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
104	0	0	0	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
104	0	0	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
0	0	0	104	0
0	0	0	104	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
104	0	0	0	0
0	0	0	104	0
0	0	0	104	0
0	0	0	0	104
0	0	104	0	0
0	104	0	0	0
0	0	104	0	0
0	104	0	0	0
104	0	0	0	0
104	0	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	0	104	0	0
104	0	0	0	0
0	104	0	0	0
0	0	104	0	0
104	0	0	0	0
0	0	0	0	104
104	0	0	0	0
0	0	0	104	0
0	0	0	104	0
0	0	104	0	0
0	0	104	0	0
0	0	104	0	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
0	0	104	0	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	0	0	104	0
0	0	0	104	0
0	0	104	0	0
0	104	0	0	0
0	0	104	0	0
0	104	0	0	0
0	0	0	104	0
104	0	0	0	0
0	0	0	104	0
0	0	104	0	0
0	0	104	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	104	0	0	0
0	0	0	0	104
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	0	0	0	104
0	0	0	104	0
0	104	0	0	0
0	0	0	104	0
0	0	104	0	0
0	0	0	104	0
0	104	0	0	0
0	104	0	0	0
105	0	0	0	0
105	0	0	0	0
0	0	105	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	0	0	105	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
105	0	0	0	0
105	0	0	0	0
0	0	105	0	0
0	0	0	105	0
0	105	0	0	0
0	105	0	0	0
0	0	105	0	0
0	105	0	0	0
105	0	0	0	0
105	0	0	0	0
0	0	0	105	0
0	0	0	105	0
0	105	0	0	0
105	0	0	0	0
0	105	0	0	0
0	0	0	105	0
0	105	0	0	0
0	0	0	105	0
0	0	0	105	0
105	0	0	0	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	0	105	0	0
105	0	0	0	0
105	0	0	0	0
105	0	0	0	0
0	105	0	0	0
0	0	0	105	0
0	105	0	0	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	0	105	0	0
0	0	105	0	0
0	105	0	0	0
0	0	105	0	0
105	0	0	0	0
105	0	0	0	0
0	0	0	105	0
0	0	0	105	0
105	0	0	0	0
0	0	0	0	105
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	105	0	0	0
0	0	0	105	0
0	0	0	105	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	0	105	0	0
0	105	0	0	0
0	105	0	0	0
0	0	0	0	105
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	0	0	105	0
0	0	0	105	0
0	0	105	0	0
0	105	0	0	0
0	0	0	105	0
0	105	0	0	0
0	0	0	105	0
0	0	0	105	0
105	0	0	0	0
0	0	0	105	0
0	0	0	0	105
0	105	0	0	0
105	0	0	0	0
0	0	105	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	0	0	0	105
0	0	105	0	0
0	0	105	0	0
0	0	0	105	0
105	0	0	0	0
0	0	105	0	0
0	105	0	0	0
0	105	0	0	0
0	0	105	0	0
0	0	0	105	0
0	105	0	0	0
0	0	105	0	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	0	105	0	0
0	0	0	105	0
0	105	0	0	0
105	0	0	0	0
0	0	0	105	0
105	0	0	0	0
0	0	0	105	0
0	0	0	105	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
105	0	0	0	0
0	0	0	105	0
0	105	0	0	0
105	0	0	0	0
0	105	0	0	0
0	0	0	105	0
0	0	105	0	0
0	0	0	105	0
0	0	0	105	0
0	105	0	0	0
0	105	0	0	0
0	0	0	105	0
0	105	0	0	0
0	105	0	0	0
0	0	105	0	0
0	105	0	0	0
0	0	0	0	105
0	0	0	105	0
0	0	0	105	0
0	0	0	105	0
0	105	0	0	0
105	0	0	0	0
0	105	0	0	0
0	0	0	105	0
105	0	0	0	0
0	0	105	0	0
0	105	0	0	0
0	105	0	0	0
0	105	0	0	0
105	0	0	0	0
0	0	0	105	0
0	0	0	105	0
0	0	0	105	0
105	0	0	0	0
0	105	0	0	0
0	105	0	0	0
0	0	0	105	0
0	0	105	0	0
0	0	105	0	0
0	0	0	105	0
0	0	105	0	0
0	0	0	105	0
0	105	0	0	0
0	105	0	0	0
0	0	105	0	0
0	0	0	105	0
0	0	105	0	0
0	0	0	0	105
0	0	0	0	105
0	0	0	105	0
0	0	0	105	0
0	0	0	105	0
0	0	0	105	0
0	105	0	0	0
0	0	0	105	0
0	0	105	0	0
0	105	0	0	0
0	0	106	0	0
0	0	106	0	0
0	0	0	106	0
106	0	0	0	0
0	0	106	0	0
0	106	0	0	0
0	0	0	106	0
0	0	0	106	0
106	0	0	0	0
0	106	0	0	0
0	106	0	0	0
106	0	0	0	0
106	0	0	0	0
106	0	0	0	0
0	106	0	0	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
0	0	106	0	0
0	106	0	0	0
0	0	0	106	0
0	0	106	0	0
0	0	106	0	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
106	0	0	0	0
106	0	0	0	0
0	0	106	0	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
106	0	0	0	0
0	106	0	0	0
0	0	0	106	0
0	0	106	0	0
0	106	0	0	0
0	106	0	0	0
0	0	106	0	0
0	106	0	0	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	0	0	106	0
0	0	106	0	0
0	106	0	0	0
0	0	0	0	106
0	106	0	0	0
0	106	0	0	0
0	106	0	0	0
0	0	0	106	0
0	0	0	0	106
0	106	0	0	0
0	106	0	0	0
0	0	0	0	106
0	106	0	0	0
0	0	0	0	106
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
0	0	0	106	0
106	0	0	0	0
0	0	106	0	0
0	106	0	0	0
0	106	0	0	0
0	106	0	0	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
106	0	0	0	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
0	0	106	0	0
0	106	0	0	0
106	0	0	0	0
0	0	106	0	0
0	0	106	0	0
0	0	0	106	0
106	0	0	0	0
0	106	0	0	0
106	0	0	0	0
0	0	106	0	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
0	0	0	106	0
0	0	106	0	0
0	0	106	0	0
106	0	0	0	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
106	0	0	0	0
0	106	0	0	0
0	106	0	0	0
0	106	0	0	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
106	0	0	0	0
0	106	0	0	0
0	0	0	106	0
0	0	106	0	0
106	0	0	0	0
0	106	0	0	0
0	0	0	106	0
106	0	0	0	0
0	106	0	0	0
0	0	0	106	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
0	106	0	0	0
0	0	106	0	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
106	0	0	0	0
0	0	106	0	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
0	106	0	0	0
0	0	106	0	0
0	106	0	0	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
0	0	0	106	0
0	0	106	0	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
0	0	0	106	0
106	0	0	0	0
0	106	0	0	0
0	0	106	0	0
0	106	0	0	0
0	0	0	106	0
0	0	106	0	0
0	0	106	0	0
106	0	0	0	0
0	0	0	106	0
0	0	106	0	0
0	0	0	106	0
106	0	0	0	0
0	0	106	0	0
0	0	0	106	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
0	0	106	0	0
106	0	0	0	0
0	106	0	0	0
0	106	0	0	0
0	0	0	106	0
106	0	0	0	0
0	0	0	106	0
0	106	0	0	0
0	0	106	0	0
0	0	106	0	0
0	0	106	0	0
0	0	0	106	0
106	0	0	0	0
0	0	0	106	0
0	0	106	0	0
0	0	0	106	0
0	0	0	106	0
0	0	106	0	0
0	0	0	106	0
0	0	0	106	0
0	106	0	0	0
0	0	0	106	0
0	106	0	0	0
0	106	0	0	0
107	0	0	0	0
107	0	0	0	0
0	0	0	107	0
0	107	0	0	0
0	107	0	0	0
0	107	0	0	0
0	0	107	0	0
107	0	0	0	0
0	107	0	0	0
0	0	107	0	0
0	0	0	107	0
0	107	0	0	0
0	107	0	0	0
0	107	0	0	0
107	0	0	0	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	107	0	0
0	107	0	0	0
107	0	0	0	0
0	0	107	0	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	107	0	0
0	0	107	0	0
0	0	107	0	0
107	0	0	0	0
0	0	0	107	0
0	0	107	0	0
107	0	0	0	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	107	0	0
107	0	0	0	0
0	0	107	0	0
0	0	107	0	0
0	0	0	107	0
0	107	0	0	0
107	0	0	0	0
0	0	0	0	107
0	107	0	0	0
0	0	107	0	0
0	107	0	0	0
0	0	0	107	0
0	0	0	107	0
0	107	0	0	0
0	107	0	0	0
0	0	107	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	0	107	0	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	0	0	0	107
0	107	0	0	0
0	0	107	0	0
0	0	0	107	0
107	0	0	0	0
107	0	0	0	0
0	107	0	0	0
0	0	107	0	0
0	0	0	107	0
107	0	0	0	0
0	107	0	0	0
0	0	0	107	0
0	0	0	107	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	107	0	0	0
0	107	0	0	0
0	107	0	0	0
0	107	0	0	0
107	0	0	0	0
0	0	0	107	0
0	0	0	107	0
107	0	0	0	0
107	0	0	0	0
107	0	0	0	0
0	107	0	0	0
0	0	0	0	107
0	0	107	0	0
0	0	0	107	0
0	0	0	107	0
0	0	107	0	0
0	0	0	107	0
107	0	0	0	0
0	107	0	0	0
0	0	107	0	0
0	0	0	107	0
107	0	0	0	0
107	0	0	0	0
0	0	0	107	0
107	0	0	0	0
0	107	0	0	0
0	107	0	0	0
0	0	0	107	0
0	0	107	0	0
0	0	107	0	0
0	107	0	0	0
0	107	0	0	0
0	0	107	0	0
0	0	107	0	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
107	0	0	0	0
0	0	0	107	0
107	0	0	0	0
107	0	0	0	0
107	0	0	0	0
0	0	0	107	0
107	0	0	0	0
0	0	0	107	0
0	0	0	107	0
0	0	0	107	0
0	107	0	0	0
0	107	0	0	0
0	0	0	107	0
107	0	0	0	0
0	0	107	0	0
0	0	0	107	0
0	0	107	0	0
0	0	0	107	0
0	107	0	0	0
0	0	0	107	0
107	0	0	0	0
0	107	0	0	0
0	107	0	0	0
0	0	107	0	0
0	107	0	0	0
0	107	0	0	0
107	0	0	0	0
0	107	0	0	0
0	107	0	0	0
107	0	0	0	0
0	107	0	0	0
0	107	0	0	0
0	0	0	107	0
0	107	0	0	0
0	107	0	0	0
0	107	0	0	0
0	0	0	0	107
0	107	0	0	0
107	0	0	0	0
0	0	107	0	0
107	0	0	0	0
0	107	0	0	0
0	0	0	107	0
0	0	107	0	0
0	0	0	0	107
0	0	107	0	0
0	107	0	0	0
107	0	0	0	0
0	0	107	0	0
0	0	107	0	0
0	0	107	0	0
0	107	0	0	0
0	107	0	0	0
0	0	107	0	0
0	0	0	107	0
0	0	107	0	0
0	107	0	0	0
0	107	0	0	0
0	0	0	107	0
0	0	0	107	0
108	0	0	0	0
0	108	0	0	0
0	0	0	108	0
0	108	0	0	0
0	108	0	0	0
0	0	0	108	0
0	0	0	108	0
0	108	0	0	0
108	0	0	0	0
0	108	0	0	0
0	108	0	0	0
0	0	108	0	0
0	108	0	0	0
0	108	0	0	0
0	0	108	0	0
0	0	108	0	0
0	108	0	0	0
0	0	0	108	0
0	108	0	0	0
0	0	0	108	0
108	0	0	0	0
0	0	0	108	0
0	108	0	0	0
0	0	0	108	0
0	0	0	108	0
0	108	0	0	0
0	108	0	0	0
0	108	0	0	0
0	0	108	0	0
0	108	0	0	0
0	0	108	0	0
0	108	0	0	0
0	0	0	108	0
0	108	0	0	0
0	108	0	0	0
0	0	108	0	0
0	108	0	0	0
0	0	0	108	0
0	0	0	0	108
0	108	0	0	0
0	0	108	0	0
0	0	108	0	0
0	108	0	0	0
0	0	0	108	0
0	0	0	108	0
0	0	108	0	0
0	108	0	0	0
0	0	0	108	0
108	0	0	0	0
0	0	0	108	0
0	0	0	108	0
